Instructor,Course,Quarter,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received,Evalulation URL
Buchanan Harold G,MGT 16 - Personal Ethics at Work (D),WI21,47,47,100.0%,95.7%,2.93,B+ (3.67),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036203
Gneezy Uri,MGT 162R - Negotiations (A),WI21,68,25,100.0%,100.0%,4.41,A (4.00),A- (3.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036214
McKay Mary A,MGT 164 - Business and Org Leadership (A),WI21,42,23,87.0%,91.3%,5.46,B+ (3.40),B- (2.78),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031749
McKay Mary A,MGT 164 - Business and Org Leadership (B),WI21,70,37,86.5%,91.9%,4.99,B (3.28),B- (2.86),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031750
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (C),WI21,82,67,97.0%,98.5%,5.31,A- (3.81),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031751
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),WI21,36,34,97.1%,91.2%,6.21,B+ (3.31),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031752
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),WI21,33,31,80.6%,87.1%,5.21,B+ (3.32),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031753
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),WI21,18,15,86.7%,80.0%,6.9,B+ (3.43),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031754
Shaffer Lisa Robock,MGT 166 - Corp Social Responsibility (D),WI21,84,45,93.0%,88.4%,5.15,A- (3.88),A- (3.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036215
Klaas Jeffrey David,MGT 167 - Social Entrepreneurship (A),WI21,54,49,93.8%,93.8%,4.38,B+ (3.52),B+ (3.45),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036216
Hedges Kathleen,MGT 172 - Business Project Management (A),WI21,113,41,92.7%,95.0%,6.11,B+ (3.68),B+ (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031756
Royal Rebecca,MGT 172 - Business Project Management (A),WI21,113,41,92.7%,95.0%,6.11,B+ (3.68),B+ (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031756A
Hedges Kathleen,MGT 172 - Business Project Management (B),WI21,104,57,94.6%,98.2%,5.61,B+ (3.65),B+ (3.62),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031757
Zimmermann Carsten,MGT 172 - Business Project Management (C),WI21,50,36,86.1%,86.1%,5.0,A- (3.71),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031758
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),WI21,106,96,95.8%,99.0%,4.96,A- (3.82),A- (3.80),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031759
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),WI21,77,32,93.8%,93.8%,6.13,A- (3.70),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036902
McKay Michael J,MGT 18 - Managing Diverse Teams (A),WI21,56,22,90.9%,90.9%,4.23,A- (3.82),B (3.08),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031723
McKay Michael J,MGT 18 - Managing Diverse Teams (B),WI21,69,29,96.6%,96.6%,3.88,A- (3.78),B (3.23),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031724
McKay Michael J,MGT 18 - Managing Diverse Teams (C),WI21,43,13,83.3%,83.3%,4.17,B+ (3.57),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031725
McKay Mary A,MGT 18 - Managing Diverse Teams (D),WI21,9,3,100.0%,100.0%,4.5,A (4.00),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031726
Chamberlain Travis Dean,MGT 18 - Managing Diverse Teams (E),WI21,80,68,97.1%,98.5%,4.65,A- (3.91),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036204
Buchanan Harold G,MGT 181 - Enterprise Finance (A),WI21,111,103,90.2%,89.2%,6.05,B+ (3.43),B (3.15),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031760
Bliss Barbara Ann,MGT 181 - Enterprise Finance (B),WI21,119,106,92.4%,97.1%,5.36,B+ (3.69),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031761
Parashar Sat P,MGT 184 - Money and Banking (A),WI21,46,39,94.9%,92.3%,4.35,A- (3.82),A- (3.89),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=036217
Dunn Louis Jean,MGT 187 - New Venture Finance (A),WI21,64,13,100.0%,100.0%,5.73,B+ (3.54),B- (2.83),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031762
Dunn Louis Jean,MGT 187 - New Venture Finance (B),WI21,35,14,100.0%,100.0%,4.93,A- (3.71),B (3.03),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031763
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),WI21,57,17,87.5%,93.8%,7.13,B+ (3.64),B- (2.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031713
Levkoff Steven B.,MGT 4 - Financial Accounting (A),WI21,9,5,80.0%,80.0%,2.9,B (3.00),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031715
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),WI21,113,107,84.9%,87.7%,6.93,B+ (3.39),B+ (3.45),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031727
Houskeeper Robert,MGT 5 - Managerial Accounting (A),WI21,166,62,93.4%,85.2%,4.93,B+ (3.53),B (3.23),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=031717
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),S219,58,53,90.6%,96.2%,5.97,B+ (3.35),B- (2.90),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977185
Ehrich Kristine R,MGT 112 - Global Business Strategy (A),S219,66,62,87.1%,88.7%,6.4,B+ (3.47),B+ (3.47),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977186
Baltes Guido H,MGT 119 - Topics in Business (A),S219,27,23,100.0%,100.0%,5.28,B+ (3.62),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977187
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (A),S219,53,50,100.0%,100.0%,3.3,A- (3.80),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977183
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S219,68,56,91.1%,96.4%,5.13,B+ (3.68),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977188
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S219,46,38,97.4%,97.4%,6.29,B+ (3.47),B (3.13),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977189
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S219,19,19,100.0%,100.0%,7.24,B+ (3.63),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977190
McKay Mary A,MGT 164GS - Business and Org Leadership (A),S219,21,20,95.0%,95.0%,5.2,B+ (3.45),A- (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=982949
Chamberlain Travis Dean,MGT 18 - Managing Diverse Teams (A),S219,49,44,88.6%,95.5%,5.85,B (3.24),B (3.13),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977184
Dunn Louis Jean,MGT 181 - Enterprise Finance (A),S219,63,22,85.7%,95.2%,4.79,B+ (3.43),B (3.20),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977191
McKay Mary A,MGT 18GS - Managing Diverse Teams (A),S219,21,20,95.0%,95.0%,4.7,B+ (3.50),A- (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=982948
Anderson John Charles,MGT 4 - Financial Accounting (A),S219,43,34,85.3%,85.3%,8.44,B+ (3.38),B (3.06),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=977182
Campbell Robert Harold,MGT 103 - Product Marketing & Management (A),S218,75,74,98.6%,98.6%,5.4,B+ (3.68),A- (3.77),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942286
Fuller Robert L.,MGT 112 - Global Business Strategy (A),S218,70,67,91.0%,91.0%,7.63,B+ (3.57),A- (3.72),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942287
Baltes Guido H,MGT 119 - Topics in Business (A),S218,20,17,100.0%,100.0%,3.09,A- (3.94),B+ (3.34),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942288
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S218,64,56,92.7%,96.3%,4.94,B+ (3.67),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=944890
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S218,43,29,96.6%,89.7%,7.47,B+ (3.59),B (3.24),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942289
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S218,16,16,100.0%,93.8%,5.63,B+ (3.50),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942290
McKay Michael J,MGT 18 - Managing Diverse Teams (A),S218,65,59,91.5%,94.9%,5.33,B+ (3.43),B (3.04),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942284
Dunn Louis Jean,MGT 181 - Enterprise Finance (A),S218,58,55,90.9%,90.9%,5.3,B+ (3.46),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942291
Anderson John Charles,MGT 4 - Financial Accounting (A),S218,52,42,92.7%,84.6%,6.79,B+ (3.61),B (3.21),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942283
Lindenberger Wade Douglas,MGT 45 - Principles of Accounting (A),S218,59,59,98.3%,100.0%,5.48,B+ (3.53),B+ (3.31),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=942285
Campbell Robert Harold,MGT 103 - Product Marketing & Management (A),S217,79,76,98.7%,98.7%,5.58,A- (3.80),A- (3.75),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911397
Fuller Robert L.,MGT 112 - Global Business Strategy (A),S217,86,81,90.1%,87.7%,7.59,B+ (3.46),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911398
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S217,56,48,97.9%,91.7%,6.21,B+ (3.60),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911399
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S217,54,44,97.7%,90.9%,6.68,B+ (3.60),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911400
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S217,21,20,95.0%,100.0%,6.0,A- (3.80),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911401
McKay Mary A,MGT 164 - Business and Org Leadership (A),S217,51,46,89.1%,87.0%,8.33,B (3.00),C+ (2.68),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911402
McKay Michael J,MGT 18 - Managing Diverse Teams (A),S217,65,53,92.5%,98.1%,4.58,B+ (3.57),B (3.12),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911395
Anderson John Charles,MGT 4 - Financial Accounting (A),S217,58,42,92.9%,83.3%,7.2,B+ (3.35),B (3.05),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911393
Lindenberger Wade Douglas,MGT 45 - Principles of Accounting (A),S217,44,43,97.7%,100.0%,8.13,B+ (3.66),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=911396
Campbell Robert Harold,MGT 103 - Product Marketing & Management (A),S216,112,100,100.0%,100.0%,5.62,A- (3.72),B+ (3.50),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=874973
Fuller Robert L.,MGT 112 - Global Business Strategy (A),S216,68,65,92.3%,98.5%,6.85,A- (3.78),A- (3.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=874974
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S216,55,53,92.3%,92.3%,6.59,A- (3.81),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=874975
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S216,60,40,97.5%,92.5%,7.7,B+ (3.63),B (3.18),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=874976
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S216,25,25,96.0%,100.0%,7.46,B+ (3.68),A- (3.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=874977
McKay Mary A,MGT 18 - Managing Diverse Teams (A),S216,45,40,87.2%,89.7%,5.53,B- (2.95),B- (2.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=874971
Anderson John Charles,MGT 4 - Financial Accounting (A),S216,53,43,90.7%,86.0%,6.69,B+ (3.56),B+ (3.32),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=874970
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),S216,44,34,91.2%,97.1%,6.38,B+ (3.47),B- (2.94),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=874972
Klein Christina Anne,MGT 103 - Product Marketing & Management (A),S215,83,75,100.0%,96.0%,5.51,B+ (3.68),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=843197
Klein Christina Anne,MGT 112 - Global Business Strategy (A),S215,51,48,95.8%,87.5%,4.46,A- (3.73),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=843198
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S215,58,46,97.8%,97.8%,5.11,B+ (3.63),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=843199
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S215,69,40,97.5%,85.0%,7.55,B+ (3.66),B (3.06),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=843200
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),S215,22,21,100.0%,100.0%,7.17,B+ (3.68),A- (3.76),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=843201
Saccardo Silvia,MGT 162 - Negotiation (A),S215,18,11,100.0%,100.0%,4.5,A- (3.80),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=843202
McKay Mary A,MGT 18 - Managing Diverse Teams (A),S215,60,57,94.7%,96.5%,7.35,B+ (3.37),B (3.05),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=844560
Anderson John Charles,MGT 4 - Financial Accounting (A),S215,38,24,95.7%,73.9%,7.05,B+ (3.52),B- (2.92),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=843195
Klein Christina Anne,MGT 103 - Product Marketing & Management (A),S214,73,64,96.9%,96.9%,5.63,B+ (3.56),B (3.21),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=813173
Klein Christina Anne,MGT 112 - Global Business Strategy (A),S214,75,66,89.4%,80.3%,5.71,B+ (3.46),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=813174
Maki Kanetaka,MGT 121A - Innovation to Market A (A),S214,31,25,100.0%,96.0%,4.26,B+ (3.48),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=817543
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S214,59,31,90.3%,83.9%,6.95,B+ (3.32),B (3.09),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=813175
Krivogorsky Victoria,MGT 136 - Advanced Accounting (A),S214,23,15,93.3%,73.3%,6.5,B (3.13),B- (2.85),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=813176
McKay Mary A,MGT 16 - Personal Ethics at Work (A),S214,61,49,91.8%,89.8%,5.5,B+ (3.50),B (3.01),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=813172
Anderson John Charles,MGT 4 - Financial Accounting (A),S214,21,12,100.0%,75.0%,7.67,B+ (3.58),B- (2.95),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=813171
Klein Christina Anne,MGT 103 - Product Marketing & Management (A),S213,90,75,97.3%,97.3%,4.71,B+ (3.63),B- (3.00),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=780364
Klein Christina Anne,MGT 112 - Global Business Strategy (A),S213,70,52,80.8%,78.8%,5.79,B+ (3.33),B (3.21),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=780365
Anderson John Charles,MGT 131B - Intermediate Accounting B (A),S213,59,32,100.0%,93.8%,6.11,B+ (3.52),B- (2.99),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=780366
Krivogorsky Victoria,MGT 136 - Advanced Accounting (A),S213,47,5,50.0%,50.0%,8.0,B+ (3.50),B- (2.98),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=780367
Anderson John Charles,MGT 4 - Financial Accounting (A),S213,22,14,92.9%,71.4%,6.64,B+ (3.43),B- (2.94),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=780363
Klein Christina Anne,MGT 103   - Product Marketing & Management (A),S212,77,58,96.5%,84.2%,4.89,A- (3.84),B (3.18),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748182
Somasundaram Tyagarajan,MGT 112   - Global Business Strategy       (A),S212,43,17,100.0%,82.4%,7.79,B+ (3.56),B+ (3.32),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748183
Anderson John Charles,MGT 131B  - Intermediate Accounting B      (A),S212,61,15,93.3%,80.0%,7.03,A- (3.71),B (3.16),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748186
Krivogorsky Victoria,MGT 136   - Advanced Accounting            (A),S212,60,49,72.9%,56.3%,9.15,B- (2.98),B- (2.90),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748184
Mahar Jan,MGT 172   - Business Project Management    (A),S212,57,22,95.5%,100.0%,8.68,A- (3.77),B+ (3.66),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748185
Anderson John Charles,MGT 4   - Financial Accounting           (A),S212,56,20,80.0%,70.0%,6.3,B+ (3.55),B (3.01),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748181
Anderson John Charles,MGT 4   - Financial Accounting           (A),S212,10,4,100.0%,75.0%,5.5,B+ (3.50),,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=748050
Krivogorsky Victoria,MGT 131B  - Intermediate Accounting B      (A),S211,102,25,84.0%,56.0%,7.62,B (3.28),C+ (2.67),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=719385
Pecore Joseph P.,MGT 133   - Advanced Cost Accounting       (A),S211,14,13,100.0%,92.3%,7.27,B+ (3.50),,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=727005
Krivogorsky Victoria,MGT 136   - Advanced Accounting            (A),S211,38,15,100.0%,93.3%,5.83,B+ (3.53),B+ (3.52),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=719387
Mahar Jan,MGT 172   - Business Project Management    (A),S211,27,17,94.1%,93.8%,6.03,A- (3.94),A- (3.76),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=719388
Anderson John Charles,MGT 4   - Financial Accounting           (A),S211,50,29,100.0%,96.6%,6.71,B+ (3.50),B (3.22),https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=719383
Anderson John Charles,MGT 4   - Financial Accounting           (A),S211,8,5,100.0%,100.0%,10.5,B (3.20),,https://cape.ucsd.edu/scripts/detailedStats.asp?SectionId=719384
Eberhard Craig A,MGT 103 - Product Marketing & Management (A),FA20,67,61,95.1%,95.1%,5.06,B+ (3.41),B- (2.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016611
Eberhard Craig A,MGT 103 - Product Marketing & Management (B),FA20,85,84,94.0%,94.0%,4.38,B (3.21),B- (2.78),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016612
Ehrich Kristine R,MGT 103 - Product Marketing & Management (C),FA20,85,78,88.5%,88.5%,4.5,B+ (3.38),B (3.19),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016613
Ehrich Kristine R,MGT 103 - Product Marketing & Management (D),FA20,85,83,92.8%,90.4%,5.62,B+ (3.41),B (3.18),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016614
Demill Burritt,MGT 103 - Product Marketing & Management (E),FA20,86,79,98.7%,98.7%,4.37,B+ (3.65),B+ (3.55),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016615
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (F),FA20,82,74,95.9%,97.3%,6.18,B+ (3.60),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016616
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (G),FA20,84,79,84.8%,91.1%,5.89,B+ (3.65),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016617
Campbell Robert Harold,MGT 105 - Product Promotion & Brand Mgt (A),FA20,148,100,98.0%,92.0%,4.58,A- (3.78),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016618
Eberhard Craig A,MGT 106 - Sales and Sales Management (A),FA20,80,73,94.4%,93.1%,4.39,B+ (3.51),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016619
Zimmermann Carsten,MGT 112 - Global Business Strategy (A),FA20,78,70,87.1%,87.1%,4.59,B+ (3.50),B+ (3.47),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016620
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (B),FA20,21,8,100.0%,100.0%,6.0,A- (3.75),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024462
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (C),FA20,11,5,80.0%,100.0%,8.9,A (4.00),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024463
Ehrich Kristine R,MGT 112 - Global Business Strategy (D),FA20,76,72,87.5%,88.9%,5.75,B+ (3.56),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024464
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),FA20,95,85,97.6%,96.5%,3.25,B+ (3.45),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016598
Lindenberger Wade Douglas,MGT 12 - Personal Financial Management (B),FA20,105,83,97.6%,98.8%,3.68,A- (3.83),A- (3.85),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016599
Klaas Jeffrey David,MGT 121A - Innovation to Market A (A),FA20,74,64,81.3%,78.1%,5.47,B+ (3.42),B+ (3.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016622
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),FA20,90,76,93.4%,93.4%,5.3,B+ (3.58),B (3.20),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016623
Blakley Bruce,MGT 132 - Auditing (A),FA20,88,38,94.4%,91.7%,5.5,B+ (3.53),A- (3.91),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016624
Houskeeper Robert,MGT 134 - Federal Taxation-Individuals (A),FA20,33,25,100.0%,96.0%,5.7,A- (3.79),A- (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016625
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),FA20,85,77,96.1%,98.7%,4.94,B+ (3.35),B+ (3.31),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016626
Perols Johan Lars,MGT 139 - Accounting Information Systems (A),FA20,19,11,90.0%,90.0%,5.9,B (3.22),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024465
Perols Johan Lars,MGT 153 - Business Analytics (A),FA20,57,22,85.0%,95.0%,7.74,B (3.26),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016627
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),FA20,75,31,90.0%,96.7%,5.03,B+ (3.52),B+ (3.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024466
Phiroz Zal Navroze,MGT 153 - Business Analytics (C),FA20,73,36,70.6%,70.6%,7.21,B+ (3.32),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024467
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),FA20,101,89,96.6%,89.8%,3.89,B+ (3.70),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016600
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),FA20,111,93,90.3%,89.2%,4.09,B+ (3.68),B (3.28),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016601
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (C),FA20,95,78,100.0%,100.0%,3.54,A- (3.97),A- (3.85),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016602
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (D),FA20,96,84,100.0%,98.8%,3.9,A- (3.85),A- (3.85),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016603
Demill Burritt,MGT 162 - Negotiation (A),FA20,53,49,97.9%,97.9%,3.1,A- (3.78),B+ (3.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024468
McKay Mary A,MGT 164 - Business and Org Leadership (A),FA20,78,39,89.5%,92.1%,5.82,B+ (3.45),B- (2.82),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016628
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (B),FA20,83,73,91.8%,94.5%,5.05,B+ (3.68),B+ (3.60),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016629
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),FA20,39,36,91.7%,86.1%,6.0,B (3.03),B- (2.87),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016630
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),FA20,51,49,89.6%,89.6%,5.38,B (3.15),B (3.03),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016631
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),FA20,28,26,80.8%,76.9%,5.35,B (3.08),B- (2.79),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016632
Demill Burritt,MGT 166 - Corp Social Responsibility (D),FA20,75,74,93.2%,98.6%,4.82,B+ (3.58),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024469
Jacob Jo Dee C,MGT 167 - Social Entrepreneurship (A),FA20,81,56,92.7%,94.5%,5.29,A- (3.75),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016633
Phiroz Zal Navroze,MGT 171 - Operations Management (A),FA20,65,24,87.0%,95.7%,5.54,B+ (3.43),B+ (3.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=024470
Hedges Kathleen,MGT 172 - Business Project Management (A),FA20,93,37,88.9%,97.2%,5.01,A- (3.75),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016634
Royal Rebecca,MGT 172 - Business Project Management (A),FA20,93,37,88.9%,94.4%,5.01,A- (3.75),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016634A
Hedges Kathleen,MGT 172 - Business Project Management (B),FA20,79,36,91.4%,94.3%,4.56,A- (3.79),A- (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016635
Zimmermann Carsten,MGT 172 - Business Project Management (C),FA20,44,36,88.9%,91.7%,5.22,B+ (3.53),B+ (3.45),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=016636
